|  $J$ [-] |  $K_T$ [-]  |  10$K_Q$  |  $\eta_0$ [-]  |  $C_{Th}$ [-]  |
|:--------:|:-----------:|:---------:|:--------------:|:---------------|
|  0.00    |  0.509      |  0.713    |  0.000         |  -             |
|  0.05    |  0.492      |  0.691    |  0.057         |  500.7         |
|  0.10    |  0.472      |  0.667    |  0.113         |  120.1         |
|  0.15    |  0.450      |  0.640    |  0.168         |  50.91         |
|  0.20    |  0.427      |  0.613    |  0.222         |  27.17         |
|  0.25    |  0.403      |  0.584    |  0.275         |  16.41         |
|  0.30    |  0.378      |  0.554    |  0.326         |  10.69         |
|  0.35    |  0.353      |  0.524    |  0.375         |  7.333         |
|  0.40    |  0.327      |  0.493    |  0.423         |  5.210         |
|  0.45    |  0.302      |  0.462    |  0.468         |  3.794         |
|  0.50    |  0.276      |  0.430    |  0.511         |  2.812         |
|  0.55    |  0.250      |  0.398    |  0.551         |  2.107         |
|  0.60    |  0.225      |  0.366    |  0.586         |  1.588         |
|  0.65    |  0.199      |  0.333    |  0.617         |  1.196         |
|  0.70    |  0.172      |  0.299    |  0.642         |  0.894         |
|  0.75    |  0.145      |  0.264    |  0.657         |  0.657         |
|  0.80    |  0.118      |  0.228    |  0.656         |  0.467         |
|  0.85    |  0.089      |  0.191    |  0.630         |  0.312         |
|  0.90    |  0.058      |  0.151    |  0.553         |  0.183         |
|  0.95    |  0.026      |  0.109    |  0.361         |  0.074         |
|  1.00    |  -0.009     |  0.065    |  -0.209        |  -0.022        |     
